"","pathway_name","complex_ID","pathway_ID","top_level_pathway_ID","top_level_pathway_name","species"
"1281","RUNX2 regulates osteoblast differentiation","R-HSA-109845","R-HSA-8940973","R-HSA-74160","Gene expression (Transcription)","Homo sapiens (Human)"
"1282","RUNX3 regulates NOTCH signaling","R-HSA-1604460","R-HSA-8941856","R-HSA-74160","Gene expression (Transcription)","Homo sapiens (Human)"
"1283","S Phase",NA,NA,NA,NA,NA
"1284","SARS-CoV Infections",NA,NA,NA,NA,NA
"1285","SARS-CoV-1 Infection",NA,NA,NA,NA,NA
"1286","SARS-CoV-2 activates/modulates innate and adaptive immune responses","R-COV-9691348","R-HSA-9705671","R-HSA-1643685","Disease","Human SARS coronavirus"
"1287","SARS-CoV-2 activates/modulates innate and adaptive immune responses","R-HSA-1169389","R-HSA-9705671","R-HSA-1643685","Disease","Homo sapiens (Human)"
"1288","SARS-CoV-2 Infection",NA,NA,NA,NA,NA
"1289","SARS-CoV-2 modulates autophagy","R-COV-9694598","R-HSA-9754560","R-HSA-1643685","Disease","Human SARS coronavirus"
"1290","SARS-CoV-2 modulates autophagy","R-HSA-2197808","R-HSA-9754560","R-HSA-1643685","Disease","Homo sapiens (Human)"
"1291","SARS-CoV-2 modulates host translation machinery","R-COV-9694286","R-HSA-9754678","R-HSA-1643685","Disease","Human SARS coronavirus"
"1292","SARS-CoV-2 modulates host translation machinery","R-HSA-191791","R-HSA-9754678","R-HSA-1643685","Disease","Homo sapiens (Human)"
"1293","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","R-COV-9694598","R-HSA-9755779","R-HSA-1643685","Disease","Human SARS coronavirus"
"1294","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","R-HSA-194364","R-HSA-9755779","R-HSA-1643685","Disease","Homo sapiens (Human)"
"1295","SARS-CoV-2-host interactions",NA,NA,NA,NA,NA
"1296","Scavenging by Class A Receptors","R-ALL-2239507","R-HSA-3000480","R-HSA-5653656","Vesicle-mediated transport","General (all species)"
"1297","Scavenging by Class A Receptors","R-HSA-1474240","R-HSA-3000480","R-HSA-5653656","Vesicle-mediated transport","Homo sapiens (Human)"
"1298","Scavenging of heme from plasma","R-HSA-1479277","R-HSA-2168880","R-HSA-5653656","Vesicle-mediated transport","Homo sapiens (Human)"
"1299","SCF-beta-TrCP mediated degradation of Emi1","R-HSA-174061","R-HSA-174113","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"1300","SCF(Skp2)-mediated degradation of p27/p21","R-HSA-177750","R-HSA-187577","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"1301","Sealing of the nuclear envelope (NE) by ESCRT-III","R-HSA-190509","R-HSA-9668328","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"1302","Selective autophagy",NA,NA,NA,NA,NA
"1303","Selenoamino acid metabolism","R-HSA-379612","R-HSA-2408522","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"1304","Selenocysteine synthesis","R-HSA-379557","R-HSA-2408557","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"1305","Sema3A PAK dependent Axon repulsion","R-HSA-2685645","R-HSA-399954","R-HSA-1266738","Developmental Biology","Homo sapiens (Human)"
"1306","SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion","R-HSA-398218","R-HSA-399955","R-HSA-1266738","Developmental Biology","Homo sapiens (Human)"
"1307","Sema4D in semaphorin signaling",NA,NA,NA,NA,NA
"1308","Sema4D induced cell migration and growth-cone collapse","R-HSA-373690","R-HSA-416572","R-HSA-1266738","Developmental Biology","Homo sapiens (Human)"
"1309","Semaphorin interactions",NA,NA,NA,NA,NA
"1310","Senescence-Associated Secretory Phenotype (SASP)","R-HSA-109845","R-HSA-2559582","R-HSA-8953897","Cellular responses to stimuli","Homo sapiens (Human)"
"1311","Sensory Perception",NA,NA,NA,"Sensory Perception",NA
"1312","Sensory perception of sweet, bitter, and umami (glutamate) taste","R-HSA-112291","R-HSA-9717207","R-HSA-9709957","Sensory Perception","Homo sapiens (Human)"
"1313","Sensory perception of taste",NA,NA,NA,NA,NA
"1314","Sensory processing of sound",NA,NA,NA,NA,NA
"1315","Sensory processing of sound by inner hair cells of the cochlea","R-HSA-879384","R-HSA-9662360","R-HSA-9709957","Sensory Perception","Homo sapiens (Human)"
"1316","Sensory processing of sound by outer hair cells of the cochlea","R-HSA-9658856","R-HSA-9662361","R-HSA-9709957","Sensory Perception","Homo sapiens (Human)"
"1317","Separation of Sister Chromatids","R-HSA-174081","R-HSA-2467813","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"1318","Serotonin Neurotransmitter Release Cycle","R-HSA-210374","R-HSA-181429","R-HSA-112316","Neuronal System","Homo sapiens (Human)"
"1319","Serotonin receptors","R-HSA-390951","R-HSA-390666","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1320","SHC-mediated cascade:FGFR1","R-HSA-109783","R-HSA-5654688","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1321","SHC-mediated cascade:FGFR2","R-HSA-109783","R-HSA-5654699","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1322","SHC-mediated cascade:FGFR3","R-HSA-109783","R-HSA-5654704","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1323","SHC-mediated cascade:FGFR4","R-HSA-109783","R-HSA-5654719","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1324","SHC1 events in EGFR signaling","R-HSA-109783","R-HSA-180336","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1325","SHC1 events in ERBB2 signaling","R-HSA-109783","R-HSA-1250196","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1326","SHC1 events in ERBB4 signaling","R-HSA-109783","R-HSA-1250347","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1327","Sialic acid metabolism","R-HSA-1605630","R-HSA-4085001","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"1328","Signal amplification",NA,NA,NA,NA,NA
"1329","Signal attenuation","R-HSA-109797","R-HSA-74749","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1330","Signal regulatory protein family interactions","R-HSA-210222","R-HSA-391160","R-HSA-1500931","Cell-Cell communication","Homo sapiens (Human)"
"1331","Signal Transduction",NA,NA,NA,"Signal Transduction",NA
"1332","Signal transduction by L1","R-HSA-109838","R-HSA-445144","R-HSA-1266738","Developmental Biology","Homo sapiens (Human)"
"1333","Signaling by activated point mutants of FGFR1","R-HSA-2011923","R-HSA-1839122","R-HSA-1643685","Disease","Homo sapiens (Human)"
"1334","Signaling by activated point mutants of FGFR3","R-HSA-1226110","R-HSA-1839130","R-HSA-1643685","Disease","Homo sapiens (Human)"
"1335","Signaling by Activin","R-HSA-109844","R-HSA-1502540","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1336","Signaling by ALK","R-HSA-201487","R-HSA-201556","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1337","Signaling by ALK fusions and activated point mutants","R-HSA-3222171","R-HSA-9725370","R-HSA-1643685","Disease","Homo sapiens (Human)"
"1338","Signaling by ALK in cancer",NA,NA,NA,NA,NA
"1339","Signaling by AMER1 mutants",NA,NA,NA,NA,NA
"1340","Signaling by APC mutants",NA,NA,NA,NA,NA
"1341","Signaling by AXIN mutants",NA,NA,NA,NA,NA
"1342","Signaling by BMP","R-HSA-178185","R-HSA-201451","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1343","Signaling by BRAF and RAF1 fusions","R-HSA-109783","R-HSA-6802952","R-HSA-1643685","Disease","Homo sapiens (Human)"
"1344","Signaling by CSF3 (G-CSF)","R-HSA-1112525","R-HSA-9674555","R-HSA-168256","Immune System","Homo sapiens (Human)"
"1345","Signaling by CTNNB1 phospho-site mutants",NA,NA,NA,NA,NA
"1346","Signaling by cytosolic FGFR1 fusion mutants","R-HSA-1604525","R-HSA-1839117","R-HSA-1643685","Disease","Homo sapiens (Human)"
"1347","Signaling by EGFR","R-HSA-179842","R-HSA-177929","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1348","Signaling by EGFR in Cancer",NA,NA,NA,NA,NA
"1349","Signaling by EGFRvIII in Cancer",NA,NA,NA,NA,NA
"1350","Signaling by ERBB2","R-HSA-1221657","R-HSA-1227986","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1351","Signaling by ERBB2 ECD mutants","R-HSA-109783","R-HSA-9665348","R-HSA-1643685","Disease","Homo sapiens (Human)"
"1352","Signaling by ERBB2 in Cancer",NA,NA,NA,NA,NA
"1353","Signaling by ERBB2 KD Mutants","R-HSA-109783","R-HSA-9664565","R-HSA-1643685","Disease","Homo sapiens (Human)"
"1354","Signaling by ERBB2 TMD/JMD mutants","R-HSA-109783","R-HSA-9665686","R-HSA-1643685","Disease","Homo sapiens (Human)"
"1355","Signaling by ERBB4","R-HSA-1247495","R-HSA-1236394","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1356","Signaling by Erythropoietin","R-HSA-9006298","R-HSA-9006335","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1357","Signaling by FGFR",NA,NA,NA,NA,NA
"1358","Signaling by FGFR in disease",NA,NA,NA,NA,NA
"1359","Signaling by FGFR1",NA,NA,NA,NA,NA
"1360","Signaling by FGFR1 in disease","R-HSA-109783","R-HSA-5655302","R-HSA-1643685","Disease","Homo sapiens (Human)"
"1361","Signaling by FGFR2",NA,NA,NA,NA,NA
"1362","Signaling by FGFR2 IIIa TM","R-HSA-109631","R-HSA-8851708","R-HSA-1643685","Disease","Homo sapiens (Human)"
"1363","Signaling by FGFR2 in disease","R-HSA-109783","R-HSA-5655253","R-HSA-1643685","Disease","Homo sapiens (Human)"
"1364","Signaling by FGFR3",NA,NA,NA,NA,NA
"1365","Signaling by FGFR3 in disease","R-HSA-109783","R-HSA-5655332","R-HSA-1643685","Disease","Homo sapiens (Human)"
"1366","Signaling by FGFR4",NA,NA,NA,NA,NA
"1367","Signaling by FGFR4 in disease","R-HSA-109783","R-HSA-5655291","R-HSA-1643685","Disease","Homo sapiens (Human)"
"1368","Signaling by FLT3 fusion proteins","R-HSA-109783","R-HSA-9703465","R-HSA-1643685","Disease","Homo sapiens (Human)"
"1369","Signaling by FLT3 ITD and TKD mutants","R-HSA-109783","R-HSA-9703648","R-HSA-1643685","Disease","Homo sapiens (Human)"
"1370","Signaling by GPCR",NA,NA,NA,NA,NA
"1371","Signaling by GSK3beta mutants","R-HSA-196206","R-HSA-5339716","R-HSA-1643685","Disease","Homo sapiens (Human)"
"1372","Signaling by Hedgehog",NA,NA,NA,NA,NA
"1373","Signaling by high-kinase activity BRAF mutants","R-HSA-109783","R-HSA-6802948","R-HSA-1643685","Disease","Homo sapiens (Human)"
"1374","Signaling by Hippo","R-HSA-194364","R-HSA-2028269","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1375","Signaling by Insulin receptor","R-HSA-74671","R-HSA-74752","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1376","Signaling by Interleukins",NA,NA,NA,NA,NA
"1377","Signaling by KIT in disease",NA,NA,NA,NA,NA
"1378","Signaling by Leptin","R-HSA-1112525","R-HSA-2586552","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1379","Signaling by Ligand-Responsive EGFR Variants in Cancer",NA,NA,NA,NA,NA
"1380","Signaling by MET",NA,NA,NA,NA,NA
"1381","Signaling by moderate kinase activity BRAF mutants","R-HSA-109783","R-HSA-6802946","R-HSA-1643685","Disease","Homo sapiens (Human)"
"1382","Signaling by NODAL","R-HSA-109844","R-HSA-1181150","R-HSA-1266738","Developmental Biology","Homo sapiens (Human)"
"1383","Signaling by Non-Receptor Tyrosine Kinases",NA,NA,NA,NA,NA
"1384","Signaling by NOTCH",NA,NA,NA,NA,NA
"1385","Signaling by NOTCH1",NA,NA,NA,NA,NA
"1386","Signaling by NOTCH1 HD Domain Mutants in Cancer",NA,NA,NA,NA,NA
"1387","Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer",NA,NA,NA,NA,NA
"1388","Signaling by NOTCH1 in Cancer",NA,NA,NA,NA,NA
"1389","Signaling by NOTCH1 PEST Domain Mutants in Cancer",NA,NA,NA,NA,NA
"1390","Signaling by NOTCH2",NA,NA,NA,NA,NA
"1391","Signaling by NOTCH3",NA,NA,NA,NA,NA
"1392","Signaling by NOTCH4",NA,NA,NA,NA,NA
"1393","Signaling by NTRK1 (TRKA)",NA,NA,NA,NA,NA
"1394","Signaling by NTRK2 (TRKB)",NA,NA,NA,NA,NA
"1395","Signaling by NTRK3 (TRKC)","R-HSA-9025070","R-HSA-9034015","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1396","Signaling by NTRKs",NA,NA,NA,NA,NA
"1397","Signaling by Nuclear Receptors",NA,NA,NA,NA,NA
"1398","Signaling by PDGF","R-HSA-158770","R-HSA-186797","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1399","Signaling by PDGFR in disease",NA,NA,NA,NA,NA
"1400","Signaling by PDGFRA extracellular domain mutants","R-HSA-109783","R-HSA-9673770","R-HSA-1643685","Disease","Homo sapiens (Human)"
"1401","Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants","R-HSA-109783","R-HSA-9673767","R-HSA-1643685","Disease","Homo sapiens (Human)"
"1402","Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants","R-HSA-109783","R-HSA-9670439","R-HSA-1643685","Disease","Homo sapiens (Human)"
"1403","Signaling by PTK6",NA,NA,NA,NA,NA
"1404","Signaling by RAF1 mutants","R-HSA-109783","R-HSA-9656223","R-HSA-1643685","Disease","Homo sapiens (Human)"
"1405","Signaling by RAS mutants",NA,NA,NA,NA,NA
"1406","Signaling by Receptor Tyrosine Kinases",NA,NA,NA,NA,NA
"1407","Signaling by Retinoic Acid","R-HSA-204168","R-HSA-5362517","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1408","Signaling by Rho GTPases",NA,NA,NA,NA,NA
"1409","Signaling by Rho GTPases, Miro GTPases and RHOBTB3",NA,NA,NA,NA,NA
"1410","Signaling by ROBO receptors","R-HSA-376032","R-HSA-376176","R-HSA-1266738","Developmental Biology","Homo sapiens (Human)"
"1411","Signaling by SCF-KIT","R-HSA-109783","R-HSA-1433557","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1412","Signaling by TGF-beta Receptor Complex",NA,NA,NA,NA,NA
"1413","Signaling by TGFB family members",NA,NA,NA,NA,NA
"1414","Signaling by the B Cell Receptor (BCR)",NA,NA,NA,NA,NA
"1415","Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)","R-HSA-2404182","R-HSA-2404192","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1416","Signaling by VEGF","R-HSA-195364","R-HSA-194138","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1417","Signaling by WNT",NA,NA,NA,NA,NA
"1418","Signaling by WNT in cancer",NA,NA,NA,NA,NA
"1419","Signaling downstream of RAS mutants","R-HSA-109783","R-HSA-9649948","R-HSA-1643685","Disease","Homo sapiens (Human)"
"1420","Signalling to ERKs",NA,NA,NA,NA,NA
"1421","Signalling to RAS","R-HSA-109783","R-HSA-167044","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1422","SIRT1 negatively regulates rRNA expression","R-HSA-3211683","R-HSA-427359","R-HSA-74160","Gene expression (Transcription)","Homo sapiens (Human)"
"1423","SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs","R-HSA-110758","R-HSA-77588","R-HSA-8953854","Metabolism of RNA","Homo sapiens (Human)"
"1424","SLBP independent Processing of Histone Pre-mRNAs","R-HSA-110758","R-HSA-111367","R-HSA-8953854","Metabolism of RNA","Homo sapiens (Human)"
"1425","SLC transporter disorders",NA,NA,NA,NA,NA
"1426","SLC-mediated transmembrane transport",NA,NA,NA,NA,NA
"1427","SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription","R-HSA-109844","R-HSA-2173796","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1428","SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription","R-HSA-109844","R-HSA-2173796","R-HSA-74160","Gene expression (Transcription)","Homo sapiens (Human)"
"1429","Smooth Muscle Contraction","R-HSA-392012","R-HSA-445355","R-HSA-397014","Muscle contraction","Homo sapiens (Human)"
"1430","snRNP Assembly","R-HSA-157689","R-HSA-191859","R-HSA-8953854","Metabolism of RNA","Homo sapiens (Human)"
"1431","Sodium/Calcium exchangers",NA,NA,NA,NA,NA
"1432","Sphingolipid de novo biosynthesis","R-HSA-428140","R-HSA-1660661","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"1433","Sphingolipid metabolism",NA,NA,NA,NA,NA
"1434","Spry regulation of FGF signaling","R-HSA-109844","R-HSA-1295596","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1435","SRP-dependent cotranslational protein targeting to membrane","R-HSA-1799322","R-HSA-1799339","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"1436","Stabilization of p53","R-HSA-3209186","R-HSA-69541","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"1437","STAT3 nuclear events downstream of ALK signaling","R-HSA-9701457","R-HSA-9701898","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1438","STAT5 activation downstream of FLT3 ITD mutants","R-HSA-9682388","R-HSA-9702518","R-HSA-1643685","Disease","Homo sapiens (Human)"
"1439","Stimuli-sensing channels","R-HSA-2671884","R-HSA-2672351","R-HSA-382551","Transport of small molecules","Homo sapiens (Human)"
"1440","STING mediated induction of host immune responses","R-HIV-177535","R-HSA-1834941","R-HSA-168256","Immune System","Human Immunodeficiency Virus"
"1441","STING mediated induction of host immune responses","R-HSA-1834947","R-HSA-1834941","R-HSA-168256","Immune System","Homo sapiens (Human)"
"1442","Striated Muscle Contraction","R-HSA-390575","R-HSA-390522","R-HSA-397014","Muscle contraction","Homo sapiens (Human)"
"1443","Sulfur amino acid metabolism","R-HSA-174357","R-HSA-1614635","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"1444","SUMO E3 ligases SUMOylate target proteins",NA,NA,NA,NA,NA
"1445","SUMOylation",NA,NA,NA,NA,NA
"1446","SUMOylation of chromatin organization proteins","R-HSA-157689","R-HSA-4551638","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"1447","SUMOylation of DNA damage response and repair proteins","R-HSA-157689","R-HSA-3108214","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"1448","SUMOylation of DNA methylation proteins","R-HSA-2993783","R-HSA-4655427","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"1449","SUMOylation of DNA replication proteins","R-HSA-157689","R-HSA-4615885","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"1450","SUMOylation of immune response proteins","R-HSA-1168591","R-HSA-4755510","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"1451","SUMOylation of intracellular receptors","R-HSA-2993778","R-HSA-4090294","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"1452","SUMOylation of RNA binding proteins","R-HSA-157689","R-HSA-4570464","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"1453","SUMOylation of SUMOylation proteins","R-HSA-157689","R-HSA-4085377","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"1454","SUMOylation of transcription cofactors","R-HSA-2993778","R-HSA-3899300","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"1455","SUMOylation of transcription factors","R-HSA-2993778","R-HSA-3232118","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"1456","SUMOylation of ubiquitinylation proteins","R-HSA-157689","R-HSA-3232142","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"1457","Suppression of phagosomal maturation",NA,NA,NA,NA,NA
"1458","Surfactant metabolism","R-HSA-400090","R-HSA-5683826","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"1459","Switching of origins to a post-replicative state","R-HSA-156502","R-HSA-69052","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"1460","Switching of origins to a post-replicative state","R-HSA-156502","R-HSA-69052","R-HSA-69306","DNA Replication","Homo sapiens (Human)"
"1461","Synaptic adhesion-like molecules","R-HSA-399696","R-HSA-8849932","R-HSA-112316","Neuronal System","Homo sapiens (Human)"
"1462","Syndecan interactions","R-HSA-114561","R-HSA-3000170","R-HSA-1474244","Extracellular matrix organization","Homo sapiens (Human)"
"1463","Synthesis And Processing Of GAG, GAGPOL Polyproteins",NA,NA,NA,NA,NA
"1464","Synthesis of active ubiquitin: roles of E1 and E2 enzymes","R-HSA-8852055","R-HSA-8866652","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"1465","Synthesis of bile acids and bile salts","R-HSA-192180","R-HSA-192105","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"1466","Synthesis of bile acids and bile salts via 24-hydroxycholesterol",NA,NA,NA,NA,NA
"1467","Synthesis of bile acids and bile salts via 27-hydroxycholesterol","R-HSA-5340186","R-HSA-193807","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"1468","Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol","R-HSA-192320","R-HSA-193368","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"1469","Synthesis of DNA",NA,NA,NA,NA,NA
"1470","Synthesis of glycosylphosphatidylinositol (GPI)","R-HSA-162728","R-HSA-162710","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"1471","Synthesis of IP2, IP, and Ins in the cytosol","R-HSA-1604570","R-HSA-1855183","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"1472","Synthesis of IP3 and IP4 in the cytosol","R-HSA-1604601","R-HSA-1855204","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"1473","Synthesis of Leukotrienes (LT) and Eoxins (EX)","R-HSA-1247898","R-HSA-2142691","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"1474","Synthesis of PA","R-HSA-1500615","R-HSA-1483166","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"1475","Synthesis of PC","R-HSA-1500587","R-HSA-1483191","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"1476","Synthesis of PE","R-HSA-1500584","R-HSA-1483213","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"1477","Synthesis of PIPs at the early endosome membrane","R-HSA-1604644","R-HSA-1660516","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"1478","Synthesis of PIPs at the Golgi membrane","R-HSA-1604644","R-HSA-1660514","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"1479","Synthesis of PIPs at the late endosome membrane","R-HSA-1604644","R-HSA-1660517","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"1480","Synthesis of PIPs at the plasma membrane","R-HSA-1604655","R-HSA-1660499","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"1481","Synthesis of Prostaglandins (PG) and Thromboxanes (TX)","R-HSA-140491","R-HSA-2162123","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"1482","Synthesis of pyrophosphates in the cytosol","R-HSA-1604601","R-HSA-1855167","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"1483","Synthesis of substrates in N-glycan biosythesis",NA,NA,NA,NA,NA
"1484","Synthesis of very long-chain fatty acyl-CoAs",NA,NA,NA,NA,NA
"1485","Synthesis, secretion, and deacylation of Ghrelin","R-HSA-264960","R-HSA-422085","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"1486","Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)","R-HSA-201922","R-HSA-381771","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"1487","Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)","R-HSA-264960","R-HSA-400511","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"1488","TAK1-dependent IKK and NF-kappa-B activation  ","R-ALL-879479","R-HSA-445989","R-HSA-168256","Immune System","General (all species)"
"1489","TAK1-dependent IKK and NF-kappa-B activation  ","R-COV-9694702","R-HSA-445989","R-HSA-168256","Immune System","Human SARS coronavirus"
"1490","TAK1-dependent IKK and NF-kappa-B activation  ","R-HSA-168113","R-HSA-445989","R-HSA-168256","Immune System","Homo sapiens (Human)"
"1491","Tandem pore domain potassium channels",NA,NA,NA,NA,NA
"1492","Tat-mediated elongation of the HIV-1 transcript","R-HSA-109631","R-HSA-167246","R-HSA-1643685","Disease","Homo sapiens (Human)"
"1493","Tat-mediated HIV elongation arrest and recovery","R-HSA-109631","R-HSA-167243","R-HSA-1643685","Disease","Homo sapiens (Human)"
"1494","TBC/RABGAPs","R-HSA-1458538","R-HSA-8854214","R-HSA-5653656","Vesicle-mediated transport","Homo sapiens (Human)"
"1495","TCF dependent signaling in response to WNT","R-HSA-1458876","R-HSA-201681","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1496","TCR signaling",NA,NA,NA,NA,NA
"1497","Telomere C-strand (Lagging Strand) Synthesis","R-HSA-174898","R-HSA-174417","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"1498","Telomere C-strand synthesis initiation","R-HSA-174433","R-HSA-174430","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"1499","Telomere Extension By Telomerase","R-HSA-163088","R-HSA-171319","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"1500","Telomere Maintenance",NA,NA,NA,NA,NA
"1501","Termination of O-glycan biosynthesis",NA,NA,NA,NA,NA
"1502","Termination of translesion DNA synthesis","R-HSA-5651799","R-HSA-5656169","R-HSA-73894","DNA Repair","Homo sapiens (Human)"
"1503","Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation","R-HSA-1474143","R-HSA-1474151","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"1504","TFAP2 (AP-2) family regulates transcription of growth factors and their receptors","R-HSA-378941","R-HSA-8866910","R-HSA-74160","Gene expression (Transcription)","Homo sapiens (Human)"
"1505","TGF-beta receptor signaling activates SMADs","R-HSA-1299497","R-HSA-2173789","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1506","TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)","R-HSA-170840","R-HSA-2173791","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1507","The activation of arylsulfatases","R-HSA-1614330","R-HSA-1663150","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"1508","The canonical retinoid cycle in rods (twilight vision)","R-HSA-2453678","R-HSA-2453902","R-HSA-9709957","Sensory Perception","Homo sapiens (Human)"
"1509","The citric acid (TCA) cycle and respiratory electron transport",NA,NA,NA,NA,NA
"1510","The NLRP3 inflammasome","R-HSA-1250249","R-HSA-844456","R-HSA-168256","Immune System","Homo sapiens (Human)"
"1511","The phototransduction cascade",NA,NA,NA,NA,NA
"1512","The role of GTSE1 in G2/M progression after G2 checkpoint","R-HSA-1221657","R-HSA-8852276","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"1513","The role of Nef in HIV-1 replication and disease pathogenesis",NA,NA,NA,NA,NA
"1514","Thrombin signalling through proteinase activated receptors (PARs)","R-HSA-114525","R-HSA-456926","R-HSA-109582","Hemostasis","Homo sapiens (Human)"
"1515","Thromboxane signalling through TP receptor","R-HSA-114534","R-HSA-428930","R-HSA-109582","Hemostasis","Homo sapiens (Human)"
"1516","Thyroxine biosynthesis","R-HSA-209777","R-HSA-209968","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
